"Data Source","World Development Indicators",

"Last Updated Date","2016-11-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Benin","BEN","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.9","","","","","","","7.2","7.2","6","6","6","6","6","7.2","7.2","7.2","10.8","10.8","10.8","10.8","8.4","8.4","8.4","8.4","7.2","7.2",
"Burkina Faso","BFA","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","8.1","8.1","8.1","8.1","11.7","11.7","11.7","11.7","11.7","15.3","15.3","15.3","15.3","15.3","15.7","15.7","18.9","9.4","9.4",
"Bangladesh","BGD","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3","","","","","","","9.1","9.1","9.1","9.1","","2","2","2","14.8","15.1","","6.3","18.6","18.6","19.7","19.7","19.7","19.8","20","20",
"Bulgaria","BGR","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","","","","","","","10.8","10.8","10.8","10.8","26.2","26.2","26.2","26.3","22.1","22.1","21.7","21.7","20.8","20.8","20.8","22.9","24.6","20","20.4","20.4",
"Bahrain","BHR","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","2.5","2.5","2.5","2.5","2.5","10","10","10","7.5","7.5","7.5",
"Bahamas, The","BHS","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.1","","","","","","","15","15","15","15","15","","20","20","20","20","12.2","12.2","12.2","12.2","12.2","13.2","13.2","13.2","13.2","13.2",
"Bosnia and Herzegovina","BIH","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.1","","16.7","16.7","16.7","14.3","11.9","11.9","19","16.7","21.4","21.4","21.4","21.4","21.4","21.4",
"Belarus","BLR","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3","10.3","10.3","29.4","29.1","29.1","29.1","31.8","31.8","31.8","31.8","26.6","26.6","26.6","27.3","27.3",
"Belize","BLZ","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","3.4","3.4","6.9","6.9","6.9","6.9","3.3","6.7","6.7","6.7","3.3","0","0","0","0","3.1","3.1","3.1","3.1","3.1",
"Bermuda","BMU","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.2","","","","","","","","","11.5","11.5","11.5","18.5","18.5","19.2","16.9","16.9","16.9","16.9","22.3","25.4","25.4","25.4","25.4","53.1","53.1","53.1",
"Brazil","BRA","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.3","","","","","","","6.6","6.6","5.7","5.7","6.8","6.2","8.6","8.6","8.6","8.8","9","9","8.8","8.6","8.6","8.6","8.6","9.9","9.9","9.9",
"Barbados","BRB","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.7","","","","","","","10.7","10.7","10.7","10.7","10.7","10.7","13.3","13.3","13.3","13.3","13.3","10","10","10","10","10","16.7","16.7","16.7","16.7",
"Brunei Darussalam","BRN","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","2","2","2","9.3","9.3","9.3","9.3","9.2","9.3","2.7","2.7","8.5","8.5","8.5","8.5","8.5","6.4","8.5","8.5","8.5",
"Botswana","BWA","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","8.5","8.5","","17","17","17","17","11.1","11.1","11.1","11.1","11.1","7.9","7.9","7.9","7.9","7.9","9.5","9.5","9.5",
"Central African Republic","CAF","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.8","","","","","","","3.5","3.5","7.3","7.3","7.3","7.3","","","10.5","10.5","10.5","10.5","9.6","9.6","12.5","12.5","","","","",
"Canada","CAN","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.3","","","","","","","20.6","20.6","20.6","","20.6","20.6","20.6","21.1","21.1","20.8","21.3","22.1","22.1","22.1","24.8","24.7","24.7","25.1","26","26",
"Central Europe and the Baltics","CEB","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.853746130031","","","","","","","11.4760068551842","10.963324764353","11.4761353898886","12.9412649040954","15.5504230118443","16.1019458544839","16.2407139629462","17.1393024245002","16.7237872340426","17.0997873245427","16.8314759676733","16.8061146496815","17.0580042462845","17.0253078556263","18.4212430821626","19.2579250720461","19.2011929247223","19.6976318141198","20.1164426523297","20.1164426523297",
"Switzerland","CHE","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","21","21","22.5","23","23","23","25","25","25","25","28.5","28.5","29","29","28.5","29","29","31","32","32",
"Channel Islands","CHI","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.5","10.8","10.8","10.8","10.8","12.5","12.5","12.5","15","15","15","15","14.2","14.2","14.2","14.2","14.2","15.8","15.8","15.8",
"China","CHN","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.3","","","","","","","","21.8","21.8","21.8","21.8","21.8","20.2","20.2","20.3","20.3","20.6","21.3","21.3","21.3","21.3","21.3","23.4","23.4","23.6","23.6",
"Cote d'Ivoire","CIV","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.7","","","","","","","8","8","8","","8.5","8.5","8.5","8.5","8.5","8.5","8.9","8.9","8.9","8.9","11","10.4","10.4","9.4","9.2","9.2",
"Cameroon","CMR","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.4","","","","","","","5.6","5.6","5.6","5.6","5.6","8.9","8.9","8.9","8.9","8.9","13.9","13.9","13.9","13.9","13.9","13.9","31.1","31.1","31.1","31.1",
"Congo, Rep.","COG","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.3","","","","","","","","12","12","12","12","","8.5","8.5","8.5","8.5","7.3","7.3","7.3","7.3","7.3","7.4","7.4","7.4","7.4","7.4",
"Colombia","COL","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.5","","","","","","","11.7","","11.8","11.8","11.8","12","12","12","12.1","8.4","8.4","8.4","8.4","12.7","12.1","12.1","12.1","19.9","19.9","19.9",
"Comoros","COM","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","0","0","","","","","","3","3","3","3","3","0","3","3","3","3","3","3","3",
"Cabo Verde","CPV","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","15.3","18.1","18.1","18.1","18.1","20.8","20.8","20.8","20.8","20.8","20.8",
"Costa Rica","CRI","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.5","","","","","","","15.8","19.3","19.3","19.3","19.3","35.1","35.1","35.1","35.1","38.6","36.8","36.8","36.8","38.6","38.6","38.6","38.6","33.3","33.3","33.3",
"Caribbean small states","CSS","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.0007177033493","","","","","","","11.5746556473829","12.0307917888563","12.9149367088608","13.2306451612903","14.5812820512821","","15.9295612009238","17.8300925925926","17.8310185185185","17.2464367816092","18.0911764705882","17.4860986547085","17.3731376975169","15.2439461883408","15.8497767857143","16.1826966292135","17.0811235955056","17.158690744921","19.7336322869955","19.7336322869955",
"Cuba","CUB","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.9","","","","","","","22.8","27.6","27.6","27.6","27.6","27.6","36","36","36","36","36","43.2","43.2","43.2","45.2","45.2","48.9","48.9","48.9","48.9",
"Curacao","CUW","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.8","","","","","","","5.4","5.4","5.4","7.1","10.7","10.7","10.7","16.1","16.1","14.3","14.3","14.3","12.5","12.5","10.7","10.7","10.7","12.5","12.5","12.5",
"Czech Republic","CZE","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","15","15","15","15","17","17","17","17","15.5","15.5","15.5","15.5","22","22","22","19.5","19.5","20","20",
"Germany","DEU","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.2","26.2","30.9","30.9","31.1","32.2","32.2","32.8","31.8","31.6","31.6","32.2","32.8","32.8","32.9","32.9","36.5","36.5","36.5","36.5",
"Djibouti","DJI","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","0","0","0","10.8","10.8","10.8","10.8","13.8","13.8","13.8","13.8","13.8","13.8","12.7","12.7","12.7","12.7",
"Dominica","DMA","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","9.4","9.4","9.4","","18.8","18.8","18.8","19.4","12.9","12.9","16.1","18.8","14.3","12.5","12.5","12.5","12.5","12.9","21.9","21.9",
"Denmark","DNK","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.7","","","","","","","33","37.4","37.4","37.4","","38","38","38","36.9","36.9","38","38","38","38","39.1","39.1","39.1","39.1","37.4","37.4",
"Dominican Republic","DOM","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.5","","","","","","","11.7","16.1","16.1","16.1","16.1","17.3","17.3","17.3","17.3","19.7","19.7","19.7","19.7","20.8","20.8","20.8","20.8","20.8","20.8","20.8",
"Algeria","DZA","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.4","","","","","","","3.2","3.2","3.2","3.4","3.4","6.2","6.2","6.2","6.2","6.2","7.7","7.7","7.7","7.7","8","31.6","31.6","31.6","31.6","31.6",
"East Asia & Pacific (excluding high income)","EAP","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.24796880078","","","","","","","","17.5375800361189","18.5322479764533","17.2883507853403","17.5812310151879","18.0650507328072","16.7943376441804","17.1348354352507","17.2706601466993","17.6312228828539","17.9731661734932","18.2417584121569","18.5010178901912","17.8817955112219","17.8733881436608","18.1885062419285","19.2656021767149","19.0145386904762","19.7031415996358","19.3920585161965",
"Early-demographic dividend","EAR","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.86683457051962","","","","","","","8.33656767172977","8.84680401479134","8.8104863038494","9.67427338782924","9.50677322907084","11.0776988155668","11.2545153853864","12.1553501180173","12.8898489314665","13.4397657504487","14.7209145282655","15.5453244715222","16.9953154446738","17.4233588716699","17.565348567348","19.301409824437","20.3848682998711","21.0709551479935","22.1644491800241","21.8278264568269",
"East Asia & Pacific","EAS","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.0835841313269","","","","","","","","16.0370385674931","16.8371843338878","16.3688070855245","16.5653851472825","17.1210088616224","16.0565725983331","16.6136891556832","16.9284972748508","17.3048942516269","17.7418435975208","17.9527850761955","18.3305479272917","17.7598120300752","17.6856630824373","17.851136782598","18.8202158979392","18.5913170237039","19.2783888458559","19.0091788669637",
"Europe & Central Asia (excluding high income)","ECA","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.37375036539024","6.8348099058249","","7.30740613158801","9.11325198637911","10.9963336019339","9.39040862656073","10.9219994013768","10.8332646452752","11.4956079271559","13.8867794817557","14.2176390030129","15.0033219087793","15.0780449555672","15.7939346405229","17.3679611650485","17.6040132924335","18.0295905227917","18.0215519463779","18.0215519463779",
"Europe & Central Asia","ECS","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.5650847111655","","","","","","","14.5070676691729","15.1533610945866","16.0553118144782","16.5594094840441","16.5363996977711","18.3323662833632","17.7653736722307","18.8178713495682","19.1680923542771","19.5395054945055","21.0083492844773","21.3502629393855","21.8942851942852","21.9948031924542","22.7058802177858","23.7525524444044","24.6753349518928","25.3484317681585","25.7526788990826","25.7173577981651",
"Ecuador","ECU","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.5","","","","","","","3.7","17.4","17.4","14.6","14.6","","16","16","16","25","25","25","32.3","32.3","32.3","32.3","38.7","41.6","41.6","41.6",
"Egypt, Arab Rep.","EGY","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.9","","","","","","","2","2","2","2","2.4","2.4","2.4","2.9","2","2","1.8","1.8","1.8","12.7","2","2","","","","14.9",
"Euro area","EMU","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.5277864502029","","","","","","","16.8594415197986","17.0208056763561","18.2708542713568","19.3204301075269","19.1232302405498","19.0744598203447","20.6983904828551","21.7106075453209","22.168040037244","23.0403712296984","24.6502087198516","24.9668829663963","25.4669981498612","25.3270814061055","26.0536664353458","27.4312427678778","29.7672433679354","30.117628057222","30.2158477508651","30.1270357554787",
"Eritrea","ERI","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","21","14.7","14.7","14.7","22","22","22","22","22","22","22","22","22","22","22","22","22","22","22",
"Spain","ESP","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.6","","","","","","","24.7","24.7","21.6","28.3","28.3","28.3","28.3","36","36","36","36.6","36.3","36.6","36.6","36","36","36","39.7","41.1","40",
"Estonia","EST","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.9","10.9","17.8","17.8","17.8","17.8","18.8","18.8","18.8","18.8","20.8","20.8","22.8","22.8","19.8","20.8","20.8","19","23.8","23.8",
"Ethiopia","ETH","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","7.7","7.7","7.7","7.7","7.7","21.4","21.9","21.9","21.9","21.9","27.8","27.8","27.8","27.8","27.8","38.8","38.8",
"European Union","EUU","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.8787858572382","","","","","","","17.114182166302","17.1546635667396","18.0229429935411","19.4503911909591","19.390929419986","20.055079006772","21.0550457424349","21.7040352372833","21.9635258358663","22.6045774162416","23.4831150930393","23.7433213990636","24.0258011277678","24.1689347079038","24.8630709961475","25.7243875884594","27.0906547133931","27.7298367973218","28.3813206756945","28.3275722462655",
"Fragile and conflict affected situations","FCS","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3428915179467","11.7118497690299","11.8026530612245","11.7590725806452","11.5125414472401","11.8953136011276","13.2738870687994","14.2335130434783","15.1072430726061","15.1587764020393","16.4928950741622","16.1192708333333",
"Finland","FIN","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.5","","","","","","","33.5","33.5","37","36.5","36.5","36.5","37.5","37.5","37.5","38","41.5","41.5","40","40","42.5","42.5","42.5","42.5","41.5","41.5",
"Fiji","FJI","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.3","4.3","11.3","","5.7","5.7","5.7","8.5","8.5","","","","","","","","","14","16","16",
"France","FRA","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.9","","","","","","","10.9","10.9","10.9","10.9","10.9","12.1","12.2","12.2","12.2","12.2","18.2","18.2","18.9","18.9","18.9","26.9","26.9","26.2","26.2","26.2",
"Faroe Islands","FRO","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"Gabon","GAB","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.3","","","","","","","8.3","8.3","8.3","9.2","9.2","9.2","9.2","9.2","9.2","12.5","16.7","16.7","14.7","14.7","14.2","15.8","15.8","15","14.2","14.2",
"United Kingdom","GBR","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.3","","","","","","","18.2","18.2","18.4","18.4","17.9","17.9","17.9","18.1","19.7","19.7","19.5","19.5","19.5","22","22.3","22.5","22.5","22.6","29.4","29.4",
"Georgia","GEO","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.9","6.9","","7.2","7.2","7.2","7.2","9.4","9.4","9.4","9.4","6","5.1","6.5","6.6","12","12","12","11.3","11.3",
"Ghana","GHA","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","","9","9","9","10.9","10.9","10.9","10.9","7.9","8.3","8.3","8.3","","10.9","10.9","10.9","10.9",
"Gibraltar","GIB","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","8.8","8.8","8.8","8.8","","19.3","19.3","19.3","19.3","19.3","","","","","","","21.9","21.9","21.9",
"Gambia, The","GMB","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.8","","","","","","","2","2","2","2","2","5.7","13.2","13.2","13.2","13.2","9.4","9.4","7.5","7.5","7.5","7.5","7.5","9.4","9.4","9.4",
